,open,high,low,close,volume
2010-06-29,3.80000,5.00000,3.50800,4.77800,93831500
2010-06-30,5.15800,6.08400,4.66000,4.76600,85935500
2010-07-01,5.00000,5.18400,4.05400,4.39200,41094000
2010-07-02,4.60000,4.62000,3.74200,3.84000,25699000
2010-07-06,4.00000,4.00000,3.16600,3.22200,34334500
2010-07-07,3.28000,3.32600,2.99600,3.16000,34608500
2010-07-08,3.22800,3.50400,3.11400,3.49200,38557000
2010-07-09,3.51600,3.58000,3.31000,3.48000,20253000
2010-07-12,3.59000,3.61400,3.40000,3.41000,11012500
2010-07-13,3.47800,3.72800,3.38000,3.62800,13400500
2010-07-14,3.58800,4.03000,3.55200,3.96800,20976000
2010-07-15,3.98800,4.30000,3.80000,3.97800,18699000
2010-07-16,4.14000,4.26000,4.01000,4.12800,13106500
2010-07-19,4.27400,4.45000,4.18400,4.38200,12432500
2010-07-20,4.37000,4.37000,4.01000,4.06000,9126500
2010-07-21,4.13200,4.18000,3.90000,4.04400,6262500
2010-07-22,4.10000,4.25000,4.07400,4.20000,4789000
2010-07-23,4.23800,4.31200,4.21200,4.25800,3268000
2010-07-26,4.30000,4.30000,4.06000,4.19000,4611000
2010-07-27,4.18200,4.23600,4.05200,4.11000,3098500
2010-07-28,4.11000,4.18000,4.10200,4.14400,2336000
2010-07-29,4.15400,4.17600,4.00000,4.07000,3080000
2010-07-30,4.04000,4.08800,3.91000,3.98800,2134500
2010-08-02,4.10000,4.19400,4.06600,4.18400,3590500
2010-08-03,4.20000,4.39000,4.16400,4.39000,6152500
2010-08-04,4.39000,4.43600,4.17000,4.25200,4565000
2010-08-05,4.30800,4.31000,4.01000,4.09000,3981000
2010-08-06,4.02000,4.03200,3.90400,3.91800,3709500
2010-08-09,3.98000,3.99600,3.89000,3.92000,4063500
2010-08-10,3.93000,3.93000,3.76400,3.80600,6406500
2010-08-11,3.73800,3.77600,3.57000,3.58000,3988000
2010-08-12,3.56000,3.58000,3.47800,3.52000,3455000
2010-08-13,3.63600,3.69000,3.53200,3.66400,3170000
2010-08-16,3.69000,3.76000,3.65200,3.75600,2429000
2010-08-17,3.79200,3.88000,3.75600,3.83000,2239500
2010-08-18,3.91800,3.91800,3.72000,3.75400,3006500
2010-08-19,3.70800,3.85000,3.66600,3.75800,2895500
2010-08-20,3.73000,3.82200,3.70200,3.82000,1480000
2010-08-23,3.81800,4.07800,3.80000,4.02600,5440500
2010-08-24,3.85000,3.94200,3.79000,3.84000,3365500
2010-08-25,3.83200,3.99600,3.71200,3.98000,2516500
2010-08-26,3.97800,4.05400,3.92000,3.95000,2169000
2010-08-27,3.95000,3.97400,3.90000,3.94000,1898000
2010-08-30,3.94000,4.03800,3.92200,3.97400,3664000
2010-08-31,3.93200,3.95800,3.86600,3.89600,1005500
2010-09-01,3.92400,4.13800,3.92000,4.09000,2474500
2010-09-02,4.07400,4.24800,4.06200,4.21200,2435500
2010-09-03,4.17400,4.26000,4.13200,4.21000,2173000
2010-09-07,4.12200,4.20000,4.10000,4.10800,1217000
2010-09-08,4.13200,4.19000,4.12000,4.18000,1442000
2010-09-09,4.20000,4.21000,4.13800,4.14200,1881000
2010-09-10,4.15000,4.18600,3.95200,4.03400,1933000
2010-09-13,4.17800,4.18000,4.10000,4.14400,1804000
2010-09-14,4.10800,4.32000,4.10600,4.22400,3273500
2010-09-15,4.19600,4.40000,4.15800,4.39600,3423000
2010-09-16,4.43000,4.63200,4.16800,4.18800,13422500
2010-09-17,4.20400,4.26400,3.96000,4.04600,5992500
2010-09-20,4.13400,4.27000,4.03200,4.21200,4737500
2010-09-21,4.17800,4.31000,4.13400,4.15400,3980000
2010-09-22,4.17400,4.19000,3.96000,3.97400,4814500
2010-09-23,3.97800,4.02800,3.90000,3.91200,3340500
2010-09-24,3.99000,4.03800,3.93000,4.02000,2894500
2010-09-27,4.08000,4.16200,4.01000,4.10600,2093000
2010-09-28,4.20800,4.29800,4.15200,4.28000,6072500
2010-09-29,4.23800,4.40600,4.22600,4.39600,9846500
2010-09-30,4.40000,4.43000,4.03800,4.08200,10979000
2010-10-01,4.13800,4.15000,4.06200,4.12000,2988500
2010-10-04,4.08600,4.23400,4.06000,4.19800,3218000
